path,clean_path,language,gender,status,error,samples,seconds,clipping_ratio,language_id,gender_id
dataset\Italian\Male\810102393_male_italian_voice09.mp3,processed_audio\Italian\Male\810102393_male_italian_voice09.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Korean\Male\810104285_male_koren_voice07.mp3,processed_audio\Korean\Male\810104285_male_koren_voice07.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\Korean\Male\220701055_male_Korean_voice14.mp3,processed_audio\Korean\Male\220701055_male_Korean_voice14.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\German\Male\810101453_male_german_voice20.mp3,processed_audio\German\Male\810101453_male_german_voice20.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Spanish\Female\810104118_female_spanish_voice6.mp3,processed_audio\Spanish\Female\810104118_female_spanish_voice6.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Korean\Female\810101373_female_korean_voice09.mp3,processed_audio\Korean\Female\810101373_female_korean_voice09.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Italian\Female\810103147_female_italian_voice13.mp3,processed_audio\Italian\Female\810103147_female_italian_voice13.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Male\810103252_male_italian_voice17.mp3,processed_audio\Italian\Male\810103252_male_italian_voice17.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Male\810102393_male_italian_voice05.mp3,processed_audio\Italian\Male\810102393_male_italian_voice05.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\German\Female\810101432_female_german_voice06.mp3,processed_audio\German\Female\810101432_female_german_voice06.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\German\Female\810101512_female_German_voice08.mp3.mp3,processed_audio\German\Female\810101512_female_German_voice08.mp3.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Korean\Male\810103153_male_korean_voice08.mp3,processed_audio\Korean\Male\810103153_male_korean_voice08.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\Korean\Male\220701055_male_Korean_voice10.mp3,processed_audio\Korean\Male\220701055_male_Korean_voice10.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\Italian\Female\810104250_female_italian_voice16.mp3,processed_audio\Italian\Female\810104250_female_italian_voice16.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Korean\Male\810101459_male_korean_voice02.mp3,processed_audio\Korean\Male\810101459_male_korean_voice02.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\Spanish\Male\810103314_male_spanish_voice10.mp3,processed_audio\Spanish\Male\810103314_male_spanish_voice10.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Spanish\Female\220701071_female_spanish_voice6.mp3,processed_audio\Spanish\Female\220701071_female_spanish_voice6.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Spanish\Female\810800006_female_spanish_voice6.mp3,processed_audio\Spanish\Female\810800006_female_spanish_voice6.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Spanish\Male\810103254_male_spanish_voice9.mp3,processed_audio\Spanish\Male\810103254_male_spanish_voice9.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Spanish\Male\810104117_male_spanish_voice3.mp3,processed_audio\Spanish\Male\810104117_male_spanish_voice3.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Korean\Female\810101394_female_korean_voice8.mp3,processed_audio\Korean\Female\810101394_female_korean_voice8.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Italian\Female\810101567_female_Italian_voice14.mp3,processed_audio\Italian\Female\810101567_female_Italian_voice14.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Female\810101512_female_German_voice14.mp3.mp3,processed_audio\German\Female\810101512_female_German_voice14.mp3.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\German\Male\810101607_male_german_voice5.mp3,processed_audio\German\Male\810101607_male_german_voice5.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Spanish\Female\810800006_female_spanish_voice2.mp3,processed_audio\Spanish\Female\810800006_female_spanish_voice2.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Korean\Male\810103153_male_korean_voice07.mp3,processed_audio\Korean\Male\810103153_male_korean_voice07.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\German\Male\810104151_male_german_voice04.mp3.MP3,processed_audio\German\Male\810104151_male_german_voice04.mp3.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Italian\Female\810104250_female_italian_voice8.mp3,processed_audio\Italian\Female\810104250_female_italian_voice8.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Spanish\Male\810104229_male_spanish_voice7.mp3,processed_audio\Spanish\Male\810104229_male_spanish_voice7.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Spanish\Female\810101574_female_spanish_voice10.mp3,processed_audio\Spanish\Female\810101574_female_spanish_voice10.wav,Spanish,Female,ok,,960000,60.0,1.0416666666666667e-06,3,0
dataset\German\Male\810104151_male_german_voice15.mp3.MP3,processed_audio\German\Male\810104151_male_german_voice15.mp3.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Korean\Female\810104272_female_korean_voice01.mp3,processed_audio\Korean\Female\810104272_female_korean_voice01.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Female\810102515_female_spanish_voice2.mp3,processed_audio\Spanish\Female\810102515_female_spanish_voice2.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Korean\Male\810104067_male_korean_voice7.mp3,processed_audio\Korean\Male\810104067_male_korean_voice7.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\Spanish\Male\810104229_male_spanish_voice10.mp3,processed_audio\Spanish\Male\810104229_male_spanish_voice10.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\German\Female\810101485_female_german_voice17.mp3,processed_audio\German\Female\810101485_female_german_voice17.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Italian\Female\810104256_female_italian_voice8.mp3,processed_audio\Italian\Female\810104256_female_italian_voice8.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Male\810102393_male_italian_voice06.mp3,processed_audio\Italian\Male\810102393_male_italian_voice06.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Male\810102393_male_italian_voice13.mp3,processed_audio\Italian\Male\810102393_male_italian_voice13.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\German\Male\810104298_male_german_voice04.mp3,processed_audio\German\Male\810104298_male_german_voice04.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Italian\Female\810103147_female_italian_voice4.mp3,processed_audio\Italian\Female\810103147_female_italian_voice4.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Korean\Female\810104272_female_korean_voice11.mp3,processed_audio\Korean\Female\810104272_female_korean_voice11.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\German\Male\810100162_male_german_voice05.mp3,processed_audio\German\Male\810100162_male_german_voice05.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\German\Male\810104151_male_german_voice18.mp3.MP3,processed_audio\German\Male\810104151_male_german_voice18.mp3.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Korean\Male\810101459_male_korean_voice20.mp3,processed_audio\Korean\Male\810101459_male_korean_voice20.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\Italian\Male\810103252_male_italian_voice12.mp3,processed_audio\Italian\Male\810103252_male_italian_voice12.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\German\Female\810100121_female_german_voice04.mp3,processed_audio\German\Female\810100121_female_german_voice04.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Spanish\Female\810101574_female_spanish_voice4.mp3,processed_audio\Spanish\Female\810101574_female_spanish_voice4.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\German\Female\810103160_female_german_voice04.mp3,processed_audio\German\Female\810103160_female_german_voice04.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\Korean\Female\810104272_female_korean_voice06.mp3,processed_audio\Korean\Female\810104272_female_korean_voice06.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Male\810104229_male_spanish_voice6.mp3,processed_audio\Spanish\Male\810104229_male_spanish_voice6.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Spanish\Female\810102470_female_spanish_voice8.mp3,processed_audio\Spanish\Female\810102470_female_spanish_voice8.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Korean\Male\810103090_male_korean_voice8.mp3,processed_audio\Korean\Male\810103090_male_korean_voice8.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\German\Male\810104200_male_german_voice19.mp3,processed_audio\German\Male\810104200_male_german_voice19.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Korean\Male\810101459_male_korean_voice09.mp3,processed_audio\Korean\Male\810101459_male_korean_voice09.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\German\Female\810102543_female_german_voice14.mp3,processed_audio\German\Female\810102543_female_german_voice14.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Korean\Female\810104272_female_korean_voice15.mp3,processed_audio\Korean\Female\810104272_female_korean_voice15.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Male\810104117_male_spanish_voice10.mp3,processed_audio\Spanish\Male\810104117_male_spanish_voice10.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Italian\Female\810104256_female_italian_voice12.mp3,processed_audio\Italian\Female\810104256_female_italian_voice12.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Spanish\Female\810800006_female_spanish_voice4.mp3,processed_audio\Spanish\Female\810800006_female_spanish_voice4.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Italian\Male\810103252_male_italian_voice1.mp3,processed_audio\Italian\Male\810103252_male_italian_voice1.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Korean\Female\810104272_female_korean_voice12.mp3,processed_audio\Korean\Female\810104272_female_korean_voice12.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Italian\Female\810102480_female_italian_voice07.mp3,processed_audio\Italian\Female\810102480_female_italian_voice07.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Male\810101441_male_italian_voice10.mp3,processed_audio\Italian\Male\810101441_male_italian_voice10.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Female\810101567_female_Italian_voice12.mp3,processed_audio\Italian\Female\810101567_female_Italian_voice12.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Male\810101453_male_german_voice16.mp3,processed_audio\German\Male\810101453_male_german_voice16.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Korean\Female\810101404_female_korean_voice09.mp3,processed_audio\Korean\Female\810101404_female_korean_voice09.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Male\810102442_male_spanish_voice9.mp3,processed_audio\Spanish\Male\810102442_male_spanish_voice9.wav,Spanish,Male,ok,,960000,60.0,1.0416666666666667e-06,3,1
dataset\Italian\Male\810102443_male_italian_voice6.mp3,processed_audio\Italian\Male\810102443_male_italian_voice6.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Korean\Female\810100094_female_korean_voice08.mp3,processed_audio\Korean\Female\810100094_female_korean_voice08.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Female\810102470_female_spanish_voice1.mp3,processed_audio\Spanish\Female\810102470_female_spanish_voice1.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Italian\Male\810102474_male_italian_voice01.mp3,processed_audio\Italian\Male\810102474_male_italian_voice01.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\German\Male\810103040_male_german_voice9.mp3,processed_audio\German\Male\810103040_male_german_voice9.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Italian\Male\810102393_male_italian_voice04.mp3,processed_audio\Italian\Male\810102393_male_italian_voice04.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Female\810104250_female_italian_voice2.mp3,processed_audio\Italian\Female\810104250_female_italian_voice2.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Female\998104021_female_german_voice04.mp3,processed_audio\German\Female\998104021_female_german_voice04.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\Italian\Female\810104256_female_italian_voice4.mp3,processed_audio\Italian\Female\810104256_female_italian_voice4.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Male\810104151_male_german_voice12.mp3.MP3,processed_audio\German\Male\810104151_male_german_voice12.mp3.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\German\Male\810100147_male_german_voice08.mp3,processed_audio\German\Male\810100147_male_german_voice08.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Spanish\Male\810102442_male_spanish_voice8.mp3,processed_audio\Spanish\Male\810102442_male_spanish_voice8.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\German\Female\810101380_female_german_voice14.mp3,processed_audio\German\Female\810101380_female_german_voice14.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\Italian\Female\810101502_female_italian_voice15.mp3.mp3,processed_audio\Italian\Female\810101502_female_italian_voice15.mp3.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Spanish\Female\810800006_female_spanish_voice5.mp3,processed_audio\Spanish\Female\810800006_female_spanish_voice5.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Italian\Female\810102480_female_italian_voice17.mp3,processed_audio\Italian\Female\810102480_female_italian_voice17.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Female\810104256_female_italian_voice6.mp3,processed_audio\Italian\Female\810104256_female_italian_voice6.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Male\810102393_male_italian_voice02.mp3,processed_audio\Italian\Male\810102393_male_italian_voice02.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Female\810104324_female_italian_voice16.mp3,processed_audio\Italian\Female\810104324_female_italian_voice16.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Italian\Male\810101434_male_italian_voice12.mp3,processed_audio\Italian\Male\810101434_male_italian_voice12.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Male\810102474_male_italian_voice03.mp3,processed_audio\Italian\Male\810102474_male_italian_voice03.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Italian\Male\810102443_male_italian_voice17.mp3,processed_audio\Italian\Male\810102443_male_italian_voice17.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Spanish\Female\810101574_female_spanish_voice7.mp3,processed_audio\Spanish\Female\810101574_female_spanish_voice7.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\German\Female\810101432_female_german_voice02.mp3,processed_audio\German\Female\810101432_female_german_voice02.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\Korean\Female\810100094_female_korean_voice01.mp3,processed_audio\Korean\Female\810100094_female_korean_voice01.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Male\810104303_male_spanish_voice3.mp3,processed_audio\Spanish\Male\810104303_male_spanish_voice3.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\German\Female\620203020_female_german_voice04.mp3,processed_audio\German\Female\620203020_female_german_voice04.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Korean\Female\810101463_female_korean_voice9.mp3,processed_audio\Korean\Female\810101463_female_korean_voice9.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Italian\Female\810103147_female_italian_voice19.mp3,processed_audio\Italian\Female\810103147_female_italian_voice19.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Korean\Male\810101459_male_korean_voice04.mp3,processed_audio\Korean\Male\810101459_male_korean_voice04.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\German\Male\810104070_male_german_voice13.mp3,processed_audio\German\Male\810104070_male_german_voice13.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Spanish\Male\810103314_male_spanish_voice9.mp3,processed_audio\Spanish\Male\810103314_male_spanish_voice9.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\German\Male\810101453_male_german_voice14.mp3,processed_audio\German\Male\810101453_male_german_voice14.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\German\Male\810104119_male_german_voice19.mp3,processed_audio\German\Male\810104119_male_german_voice19.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Korean\Male\810102425_male_Korean_voice09.mp3,processed_audio\Korean\Male\810102425_male_Korean_voice09.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\Spanish\Male\810104303_male_spanish_voice2.mp3,processed_audio\Spanish\Male\810104303_male_spanish_voice2.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\German\Male\810101607_male_german_voice13.mp3,processed_audio\German\Male\810101607_male_german_voice13.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Italian\Female\810101567_female_Italian_voice02.mp3,processed_audio\Italian\Female\810101567_female_Italian_voice02.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\German\Male\810104119_male_german_voice20.mp3,processed_audio\German\Male\810104119_male_german_voice20.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Korean\Male\810101459_male_korean_voice15.mp3,processed_audio\Korean\Male\810101459_male_korean_voice15.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\Spanish\Female\810101574_female_spanish_voice2.mp3,processed_audio\Spanish\Female\810101574_female_spanish_voice2.wav,Spanish,Female,ok,,960000,60.0,1.0416666666666667e-06,3,0
dataset\Spanish\Male\810104117_male_spanish_voice8.mp3,processed_audio\Spanish\Male\810104117_male_spanish_voice8.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Korean\Female\810100094_female_korean_voice13.mp3,processed_audio\Korean\Female\810100094_female_korean_voice13.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Spanish\Female\810102515_female_spanish_voice3.mp3,processed_audio\Spanish\Female\810102515_female_spanish_voice3.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Korean\Male\810103153_male_korean_voice11.mp3,processed_audio\Korean\Male\810103153_male_korean_voice11.wav,Korean,Male,ok,,960000,60.0,0.0,2,1
dataset\Italian\Male\810102393_male_italian_voice20.mp3,processed_audio\Italian\Male\810102393_male_italian_voice20.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Spanish\Male\810102552_male_spanish_voice2.mp3,processed_audio\Spanish\Male\810102552_male_spanish_voice2.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Italian\Female\810104250_female_italian_voice14.mp3,processed_audio\Italian\Female\810104250_female_italian_voice14.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Spanish\Female\810800006_female_spanish_voice1.mp3,processed_audio\Spanish\Female\810800006_female_spanish_voice1.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\German\Female\810101512_female_German_voice20.mp3.mp3,processed_audio\German\Female\810101512_female_German_voice20.mp3.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\German\Male\810100147_male_german_voice19.mp3,processed_audio\German\Male\810100147_male_german_voice19.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Italian\Male\810102443_male_italian_voice12.mp3,processed_audio\Italian\Male\810102443_male_italian_voice12.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\German\Female\810104145_female_german_voice06.mp3,processed_audio\German\Female\810104145_female_german_voice06.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\German\Female\810104145_female_german_voice09.mp3,processed_audio\German\Female\810104145_female_german_voice09.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Italian\Male\810101493_male_italian_voice02.mp3,processed_audio\Italian\Male\810101493_male_italian_voice02.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\German\Female\810101512_female_German_voice07.mp3.mp3,processed_audio\German\Female\810101512_female_German_voice07.mp3.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Korean\Female\810101404_female_korean_voice07.mp3,processed_audio\Korean\Female\810101404_female_korean_voice07.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Korean\Male\810102425_male_Korean_voice06.mp3,processed_audio\Korean\Male\810102425_male_Korean_voice06.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\German\Male\810101607_male_german_voice1.mp3,processed_audio\German\Male\810101607_male_german_voice1.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\German\Female\810101380_female_german_voice13.mp3,processed_audio\German\Female\810101380_female_german_voice13.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Spanish\Female\610301117_female_spanish_voice4.mp3,processed_audio\Spanish\Female\610301117_female_spanish_voice4.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\German\Male\810104070_male_german_voice02.mp3,processed_audio\German\Male\810104070_male_german_voice02.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\German\Female\810103160_female_german_voice07.mp3,processed_audio\German\Female\810103160_female_german_voice07.wav,German,Female,ok,,960000,60.0,0.0,0,0
dataset\Korean\Female\810100094_female_korean_voice15.mp3,processed_audio\Korean\Female\810100094_female_korean_voice15.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\Italian\Female\810103147_female_italian_voice15.mp3,processed_audio\Italian\Female\810103147_female_italian_voice15.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Korean\Female\810104272_female_korean_voice10.mp3,processed_audio\Korean\Female\810104272_female_korean_voice10.wav,Korean,Female,ok,,960000,60.0,0.0,2,0
dataset\German\Male\810101453_male_german_voice02.mp3,processed_audio\German\Male\810101453_male_german_voice02.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\Spanish\Male\810102442_male_spanish_voice10.mp3,processed_audio\Spanish\Male\810102442_male_spanish_voice10.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Italian\Male\810103252_male_italian_voice8.mp3,processed_audio\Italian\Male\810103252_male_italian_voice8.wav,Italian,Male,ok,,960000,60.0,0.0,1,1
dataset\Spanish\Male\810102552_male_spanish_voice1.mp3,processed_audio\Spanish\Male\810102552_male_spanish_voice1.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
dataset\Italian\Female\810101567_female_Italian_voice18.mp3,processed_audio\Italian\Female\810101567_female_Italian_voice18.wav,Italian,Female,ok,,960000,60.0,0.0,1,0
dataset\Korean\Male\810104067_male_korean_voice10.mp3,processed_audio\Korean\Male\810104067_male_korean_voice10.wav,Korean,Male,ok,,960000,60.0,1.0416666666666667e-06,2,1
dataset\German\Female\810101380_female_german_voice19.mp3,processed_audio\German\Female\810101380_female_german_voice19.wav,German,Female,ok,,960000,60.0,1.0416666666666667e-06,0,0
dataset\German\Male\810104200_male_german_voice20.mp3,processed_audio\German\Male\810104200_male_german_voice20.wav,German,Male,ok,,960000,60.0,1.0416666666666667e-06,0,1
dataset\German\Male\810103040_male_german_voice16.mp3,processed_audio\German\Male\810103040_male_german_voice16.wav,German,Male,ok,,960000,60.0,0.0,0,1
dataset\Spanish\Female\810102515_female_spanish_voice9.mp3,processed_audio\Spanish\Female\810102515_female_spanish_voice9.wav,Spanish,Female,ok,,960000,60.0,0.0,3,0
dataset\Spanish\Male\810103314_male_spanish_voice6.mp3,processed_audio\Spanish\Male\810103314_male_spanish_voice6.wav,Spanish,Male,ok,,960000,60.0,1.0416666666666667e-06,3,1
dataset\Spanish\Male\810104117_male_spanish_voice9.mp3,processed_audio\Spanish\Male\810104117_male_spanish_voice9.wav,Spanish,Male,ok,,960000,60.0,0.0,3,1
